City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Temirtau,50.0544,72.9483,11.850000000000023,77,43,2.61,KZ,1694791576
130,Tavda,58.0425,65.2726,13.920000000000016,65,34,0.34,RU,1694791741
131,Ust-Nera,64.5667,143.2,2.2600000000000477,93,59,3.06,RU,1694791228
132,Den Burg,53.0542,4.7972,22.220000000000027,62,40,3.6,NL,1694791741
133,Cova Figueira,14.8905,-24.2934,23.930000000000007,83,28,7.96,CV,1694791741
134,Holualoa,19.6228,-155.9522,23.910000000000025,82,0,3.09,US,1694791253
135,Saldanha,-33.0117,17.9442,13.900000000000034,69,97,8.33,ZA,1694790989
136,George Town,5.4112,100.3354,27.960000000000036,85,20,1.03,MY,1694791213
137,Atafu Village,-8.5421,-172.5159,28.160000000000025,73,73,5.65,TK,1694791218
138,Geraldton,-28.7667,114.6,12.230000000000018,94,0,3.09,AU,1694791226
139,Donggang,28.9365,114.2259,21.150000000000034,95,4,0.51,CN,1694791566
140,Nova Sintra,14.8667,-24.7167,23.54000000000002,80,62,8.34,CV,1694791242
141,Iskushuban,10.2837,50.23,33.629999999999995,36,73,4.57,SO,1694791201
142,Akbarābād,29.2464,52.7793,31.79000000000002,13,15,6.73,IR,1694791743
143,Naryan-Mar,67.6713,53.087,6.520000000000039,92,100,5.52,RU,1694791743
144,Pahrump,36.2083,-115.9839,24.03000000000003,49,0,0.89,US,1694791743
145,Finisterra,42.9049,-9.2629,23.75,80,96,4.01,ES,1694791743
146,Strezhevoy,60.7333,77.5889,14.980000000000018,73,20,1.79,RU,1694791743
147,Burang,30.25,81.1667,11.400000000000034,75,96,2.76,CN,1694791744
148,Ribeira Grande,38.5167,-28.7,23.220000000000027,68,75,9.77,PT,1694791188
149,Lihue,21.9789,-159.3672,24.77000000000004,85,100,5.14,US,1694791265
150,Pacific Grove,36.6177,-121.9166,16.340000000000032,90,100,0.0,US,1694791283
151,Iquique,-20.2208,-70.1431,18.02000000000004,66,24,1.29,CL,1694791744
152,Gizo Government Station,-8.103,156.8419,25.870000000000005,80,100,9.95,SB,1694791745
